subject,list,item,input,output,study,recall,repeat,intrusion,condition,first_input
118,1,0,1,3.0,True,True,0,False,0,1
118,1,0,2,,True,False,0,False,0,2
118,1,0,3,,True,False,0,False,0,3
118,1,1,4,9.0,True,True,0,False,0,4
118,1,1,5,,True,False,0,False,0,5
118,1,1,6,,True,False,0,False,0,6
118,1,2,7,,True,False,0,False,0,7
118,1,2,8,,True,False,0,False,0,8
118,1,2,9,,True,False,0,False,0,9
118,1,3,10,10.0,True,True,0,False,0,10
118,1,3,11,,True,False,0,False,0,11
118,1,3,12,,True,False,0,False,0,12
118,1,4,13,5.0,True,True,0,False,0,13
118,1,4,14,,True,False,0,False,0,14
118,1,4,15,,True,False,0,False,0,15
118,1,5,16,7.0,True,True,0,False,0,16
118,1,5,17,,True,False,0,False,0,17
118,1,5,18,,True,False,0,False,0,18
118,1,6,19,,True,False,0,False,0,19
118,1,6,20,,True,False,0,False,0,20
118,1,6,21,,True,False,0,False,0,21
118,1,7,22,1.0,True,True,0,False,0,22
118,1,7,23,,True,False,0,False,0,23
118,1,7,24,,True,False,0,False,0,24
118,1,8,25,,True,False,0,False,0,25
118,1,8,26,,True,False,0,False,0,26
118,1,8,27,,True,False,0,False,0,27
118,1,9,28,,True,False,0,False,0,28
118,1,9,29,,True,False,0,False,0,29
118,1,9,30,,True,False,0,False,0,30
118,1,10,31,,True,False,0,False,0,31
118,1,10,32,,True,False,0,False,0,32
118,1,10,33,,True,False,0,False,0,33
118,1,11,34,,True,False,0,False,0,34
118,1,11,35,,True,False,0,False,0,35
118,1,11,36,,True,False,0,False,0,36
118,1,12,37,,True,False,0,False,0,37
118,1,12,38,,True,False,0,False,0,38
118,1,12,39,,True,False,0,False,0,39
118,1,13,40,,True,False,0,False,0,40
118,1,13,41,,True,False,0,False,0,41
118,1,13,42,,True,False,0,False,0,42
118,1,14,43,,True,False,0,False,0,43
118,1,14,44,,True,False,0,False,0,44
118,1,14,45,,True,False,0,False,0,45
118,1,15,46,,True,False,0,False,0,46
118,1,15,47,,True,False,0,False,0,47
118,1,15,48,,True,False,0,False,0,48
118,1,16,49,,True,False,0,False,0,49
118,1,16,50,,True,False,0,False,0,50
118,1,16,51,,True,False,0,False,0,51
118,1,17,52,,True,False,0,False,0,52
118,1,17,53,,True,False,0,False,0,53
118,1,17,54,,True,False,0,False,0,54
118,1,18,55,,True,False,0,False,0,55
118,1,18,56,,True,False,0,False,0,56
118,1,18,57,,True,False,0,False,0,57
118,1,19,58,,True,False,0,False,0,58
118,1,19,59,,True,False,0,False,0,59
118,1,19,60,,True,False,0,False,0,60
118,1,20,61,4.0,True,True,0,False,0,61
118,1,20,62,,True,False,0,False,0,62
118,1,20,63,,True,False,0,False,0,63
118,1,21,64,12.0,True,True,0,False,0,64
118,1,21,65,,True,False,0,False,0,65
118,1,21,66,,True,False,0,False,0,66
118,1,22,67,,True,False,0,False,0,67
118,1,22,68,,True,False,0,False,0,68
118,1,22,69,,True,False,0,False,0,69
118,1,23,70,8.0,True,True,0,False,0,70
118,1,23,71,,True,False,0,False,0,71
118,1,23,72,,True,False,0,False,0,72
118,1,24,73,11.0,True,True,0,False,0,73
118,1,24,74,,True,False,0,False,0,74
118,1,24,75,,True,False,0,False,0,75
118,1,25,76,,True,False,0,False,0,76
118,1,25,77,,True,False,0,False,0,77
118,1,25,78,,True,False,0,False,0,78
118,1,26,79,,True,False,0,False,0,79
118,1,26,80,,True,False,0,False,0,80
118,1,26,81,,True,False,0,False,0,81
118,1,27,82,6.0,True,True,0,False,0,82
118,1,27,83,,True,False,0,False,0,83
118,1,27,84,,True,False,0,False,0,84
118,1,28,85,2.0,True,True,0,False,0,85
118,1,28,86,,True,False,0,False,0,86
118,1,28,87,,True,False,0,False,0,87
118,1,29,88,,True,False,0,False,0,88
118,1,29,89,,True,False,0,False,0,89
118,1,29,90,,True,False,0,False,0,90
118,2,0,1,1.0,True,True,0,False,2,1
118,2,1,2,,True,False,0,False,2,2
118,2,2,3,,True,False,0,False,2,3
118,2,3,4,,True,False,0,False,2,4
118,2,1,5,,True,False,0,False,2,5
118,2,2,6,,True,False,0,False,2,6
118,2,0,7,,True,False,0,False,2,7
118,2,1,8,,True,False,0,False,2,8
118,2,3,9,,True,False,0,False,2,9
118,2,0,10,,True,False,0,False,2,10
118,2,2,11,,True,False,0,False,2,11
118,2,4,12,,True,False,0,False,2,12
118,2,5,13,,True,False,0,False,2,13
118,2,3,14,,True,False,0,False,2,14
118,2,6,15,,True,False,0,False,2,15
118,2,4,16,,True,False,0,False,2,16
118,2,5,17,,True,False,0,False,2,17
118,2,7,18,,True,False,0,False,2,18
118,2,4,19,,True,False,0,False,2,19
118,2,8,20,,True,False,0,False,2,20
