subject,list,item,input,output,study,recall,repeat,intrusion,list length
1,1,0,1,5.0,True,True,0,False,20
1,1,1,2,7.0,True,True,0,False,20
1,1,2,3,,True,False,0,False,20
1,1,3,4,,True,False,0,False,20
1,1,4,5,,True,False,0,False,20
1,1,5,6,,True,False,0,False,20
1,1,6,7,,True,False,0,False,20
1,1,7,8,,True,False,0,False,20
1,1,8,9,6.0,True,True,0,False,20
1,1,9,10,,True,False,0,False,20
1,1,10,11,,True,False,0,False,20
1,1,11,12,,True,False,0,False,20
1,1,12,13,3.0,True,True,0,False,20
1,1,13,14,,True,False,0,False,20
1,1,14,15,,True,False,0,False,20
1,1,15,16,9.0,True,True,0,False,20
1,1,16,17,8.0,True,True,0,False,20
1,1,17,18,4.0,True,True,0,False,20
1,1,18,19,2.0,True,True,0,False,20
1,1,19,20,1.0,True,True,0,False,20
1,2,0,1,,True,False,0,False,20
1,2,1,2,,True,False,0,False,20
1,2,2,3,5.0,True,True,0,False,20
1,2,3,4,,True,False,0,False,20
1,2,4,5,,True,False,0,False,20
1,2,5,6,,True,False,0,False,20
1,2,6,7,,True,False,0,False,20
1,2,7,8,,True,False,0,False,20
1,2,8,9,,True,False,0,False,20
1,2,9,10,,True,False,0,False,20
1,2,10,11,,True,False,0,False,20
1,2,11,12,,True,False,0,False,20
1,2,12,13,,True,False,0,False,20
1,2,13,14,6.0,True,True,0,False,20
1,2,14,15,,True,False,0,False,20
1,2,15,16,3.0,True,True,0,False,20
1,2,16,17,4.0,True,True,0,False,20
1,2,17,18,2.0,True,True,0,False,20
1,2,18,19,,True,False,0,False,20
1,2,19,20,1.0,True,True,0,False,20
1,3,0,1,7.0,True,True,0,False,20
1,3,1,2,8.0,True,True,0,False,20
1,3,2,3,,True,False,0,False,20
1,3,3,4,,True,False,0,False,20
1,3,4,5,,True,False,0,False,20
1,3,5,6,,True,False,0,False,20
1,3,6,7,,True,False,0,False,20
1,3,7,8,3.0,True,True,0,False,20
1,3,8,9,,True,False,0,False,20
1,3,9,10,,True,False,0,False,20
1,3,10,11,,True,False,0,False,20
1,3,11,12,,True,False,0,False,20
1,3,12,13,,True,False,0,False,20
1,3,13,14,6.0,True,True,0,False,20
1,3,14,15,5.0,True,True,0,False,20
1,3,15,16,,True,False,0,False,20
1,3,16,17,1.0,True,True,0,False,20
1,3,17,18,2.0,True,True,0,False,20
1,3,18,19,9.0,True,True,0,False,20
1,3,19,20,4.0,True,True,0,False,20
1,4,0,1,8.0,True,True,0,False,20
1,4,1,2,9.0,True,True,0,False,20
1,4,2,3,,True,False,0,False,20
1,4,3,4,,True,False,0,False,20
1,4,4,5,,True,False,0,False,20
1,4,5,6,,True,False,0,False,20
1,4,6,7,,True,False,0,False,20
1,4,7,8,6.0,True,True,0,False,20
1,4,8,9,7.0,True,True,0,False,20
1,4,9,10,,True,False,0,False,20
1,4,10,11,,True,False,0,False,20
1,4,11,12,,True,False,0,False,20
1,4,12,13,,True,False,0,False,20
1,4,13,14,,True,False,0,False,20
1,4,14,15,4.0,True,True,0,False,20
1,4,15,16,5.0,True,True,0,False,20
1,4,16,17,,True,False,0,False,20
1,4,17,18,1.0,True,True,0,False,20
1,4,18,19,2.0,True,True,0,False,20
1,4,19,20,3.0,True,True,0,False,20
1,5,0,1,,True,False,0,False,20
1,5,1,2,,True,False,0,False,20
1,5,2,3,,True,False,0,False,20
1,5,3,4,,True,False,0,False,20
1,5,4,5,,True,False,0,False,20
1,5,5,6,,True,False,0,False,20
1,5,6,7,,True,False,0,False,20
1,5,7,8,,True,False,0,False,20
1,5,8,9,,True,False,0,False,20
1,5,9,10,,True,False,0,False,20
1,5,10,11,6.0,True,True,0,False,20
1,5,11,12,5.0,True,True,0,False,20
1,5,12,13,7.0,True,True,0,False,20
1,5,13,14,,True,False,0,False,20
1,5,14,15,,True,False,0,False,20
1,5,15,16,,True,False,0,False,20
1,5,16,17,4.0,True,True,0,False,20
1,5,17,18,1.0,True,True,0,False,20
1,5,18,19,2.0,True,True,0,False,20
1,5,19,20,3.0,True,True,0,False,20
1,6,0,1,5.0,True,True,0,False,20
1,6,1,2,,True,False,0,False,20
1,6,2,3,,True,False,0,False,20
1,6,3,4,,True,False,0,False,20
1,6,4,5,,True,False,0,False,20
1,6,5,6,,True,False,0,False,20
1,6,6,7,7.0,True,True,0,False,20
1,6,7,8,,True,False,0,False,20
1,6,8,9,,True,False,0,False,20
1,6,9,10,6.0,True,True,0,False,20
1,6,10,11,,True,False,0,False,20
1,6,11,12,,True,False,0,False,20
1,6,12,13,,True,False,0,False,20
1,6,13,14,,True,False,0,False,20
1,6,14,15,,True,False,0,False,20
1,6,15,16,,True,False,0,False,20
1,6,16,17,4.0,True,True,0,False,20
1,6,17,18,1.0,True,True,0,False,20
1,6,18,19,2.0,True,True,0,False,20
1,6,19,20,3.0,True,True,0,False,20
1,7,0,1,6.0,True,True,0,False,20
1,7,1,2,7.0,True,True,0,False,20
1,7,2,3,,True,False,0,False,20
1,7,3,4,,True,False,0,False,20
1,7,4,5,,True,False,0,False,20
1,7,5,6,,True,False,0,False,20
1,7,6,7,,True,False,0,False,20
1,7,7,8,,True,False,0,False,20
1,7,8,9,,True,False,0,False,20
1,7,9,10,,True,False,0,False,20
1,7,10,11,4.0,True,True,0,False,20
1,7,11,12,,True,False,0,False,20
1,7,12,13,,True,False,0,False,20
1,7,13,14,,True,False,0,False,20
1,7,14,15,,True,False,0,False,20
1,7,15,16,,True,False,0,False,20
1,7,16,17,5.0,True,True,0,False,20
1,7,17,18,3.0,True,True,0,False,20
1,7,18,19,1.0,True,True,0,False,20
1,7,19,20,2.0,True,True,0,False,20
1,8,0,1,7.0,True,True,0,False,20
1,8,1,2,,True,False,0,False,20
1,8,2,3,,True,False,0,False,20
1,8,3,4,,True,False,0,False,20
1,8,4,5,,True,False,0,False,20
1,8,5,6,,True,False,0,False,20
1,8,6,7,,True,False,0,False,20
1,8,7,8,,True,False,0,False,20
1,8,8,9,,True,False,0,False,20
